therapy,condition,cor,loe,notes
ARNi,HFrEF,Class 1,A,"Recommended to reduce morbidity and mortality"
ACEi,HFrEF,Class 1,A,"Recommended to reduce morbidity and mortality"
ARB,HFrEF,Class 1,A,"Recommended to reduce morbidity and mortality"
Beta blocker,HFrEF,Class 1,A,"Recommended to reduce morbidity and mortality"
MRA,HFrEF LVEF <=35% NYHA II-IV on BB+RASi,Class 1,A,"Recommended to reduce morbidity and mortality"
SGLT2i,HFrEF,Class 1,A,"Recommended to reduce morbidity and mortality"
SGLT2i,HFmrEF,Class 2a,,"Can be useful to reduce HF hospitalizations and CV mortality"
SGLT2i,HFpEF,Class 2a,,"Can be useful to reduce HF hospitalizations"
ARNi,HFmrEF,Class 2a,,"Can be useful to reduce HF hospitalizations and CV mortality"
ARNi,HFpEF,Class 2b,,"May be considered to reduce HF hospitalizations"
Beta blocker,HFmrEF,Class 2a,,"Can be useful to reduce HF hospitalizations and CV mortality"
Beta blocker,HFpEF,Class 2b,,"May be considered to reduce HF hospitalizations"
MRA,HFpEF selected,Class 2b,,"May be considered in selected patients with HFpEF"
Hydralazine+ISDN,African American HFrEF NYHA III-IV,Class 1,A,"Recommended to reduce morbidity and mortality"
Ivabradine,HFrEF LVEF <=35% sinus rhythm >=70 bpm on BB,Class 2a,B-R,"Can be useful to reduce HF hospitalizations"
Digoxin,HFrEF,Class 2b,B-R,"May be considered to reduce HF hospitalizations"
Tafamidis,ATTR-CM NYHA I-III,Class 1,B-R,"Recommended to reduce CV hospitalizations and mortality"
ICD,ischemic LVEF <=30% NYHA I >40d post-MI,Class 1,A,"Recommended to reduce sudden cardiac death"
ICD,non-ischemic LVEF <=35% NYHA II-III GDMT,Class 1,A,"Recommended to reduce sudden cardiac death"
CRT-D,LVEF <=35% LBBB QRS >=150ms NYHA II-III GDMT,Class 1,A,"Recommended to improve survival and reduce HF hospitalizations"
CRT-D,LVEF <=35% LBBB QRS 120-149ms NYHA II-III GDMT,Class 2a,B-R,"Can be useful to improve survival and reduce HF hospitalizations"
Anticoagulation,HF + AF + CHA2DS2-VASc >=2 men >=3 women,Class 1,A,"Recommended for stroke prevention"
Anticoagulation,HF + AF + CHA2DS2-VASc 0 men 1 women,Class 2a,B-R,"Reasonable to omit anticoagulation"
Anticoagulation,HF sinus rhythm,Class 3: No Benefit,B-R,"Not recommended for reducing morbidity or mortality"
Diuretic,HF volume overload,Class 1,C-LD,"Recommended to relieve congestion and improve symptoms"
Iron IV,HFrEF iron deficiency ferritin <100 or TSAT <20%,Class 2a,B-R,"Can be useful to improve functional status and QoL"
Vericiguat,HFrEF LVEF <45% recent decompensation on GDMT,Class 2b,B-R,"May be considered to reduce HF hospitalizations"
Omega-3 PUFA,HFrEF NYHA II-IV,Class 2b,B-R,"May be considered to reduce mortality and CV hospitalizations"
PCSK9i,HF with ASCVD,Class 2a,A,"Can be useful in patients with HF and ASCVD"
Exercise training,HF stable,Class 1,B-R,"Recommended to improve functional status and QoL"
Sodium restriction,HF,Class 2a,C-LD,"Can be useful to reduce congestion"
Palliative care,HF advanced,Class 1,B-R,"Recommended to improve QoL"
Erythropoietin-stimulating agents,HF anemia,Class 3: No Benefit,B-R,"Should not be used to improve morbidity or mortality"
